Time [s];Position [mm];Force [N]
0,368;17,55;94,238281
0,369;17,611;94,726562
0,37;17,67;94,726562
0,371;17,67;94,726562
0,372;17,729;94,726562
0,373;17,788;94,726562
0,374;17,846;94,726562
0,375;17,905;94,726562
0,376;17,964;94,726562
0,377;17,964;95,214844
0,378;18,025;95,214844
0,379;18,086;95,214844
0,38;18,146;95,214844
0,381;18,207;95,703125
0,382;18,267;95,703125
0,383;18,267;95,703125
0,384;18,326;95,703125
0,385;18,385;95,703125
0,386;18,444;95,703125
0,387;18,504;96,191406
0,388;18,504;96,679688
0,389;18,564;95,703125
0,39;18,623;97,65625
0,391;18,683;96,191406
0,392;18,743;96,191406
0,393;18,803;96,679688
0,394;18,861;97,167969
0,395;18,861;96,679688
0,396;18,921;97,167969
0,397;18,98;97,167969
0,398;19,04;97,167969
0,399;19,099;96,679688
0,4;19,16;97,167969
0,401;19,16;96,679688
0,402;19,222;100,585938
0,403;19,283;97,167969
0,404;19,342;97,167969
0,405;19,401;97,167969
0,406;19,401;97,167969
0,407;19,46;97,65625
0,408;19,519;97,65625
0,409;19,577;97,65625
0,41;19,636;97,65625
0,411;19,697;97,65625
0,412;19,738;97,65625
0,413;19,757;98,144531
0,414;19,817;97,65625
0,415;19,877;99,121094
0,416;19,938;98,144531
0,417;19,998;98,144531
0,418;20,046;98,632812
0,419;20,057;98,632812
0,42;20,117;98,144531
0,421;20,177;98,632812
0,422;20,238;99,121094
0,423;20,297;98,632812
0,424;20,358;99,609375
0,425;20,358;99,121094
0,426;20,415;99,121094
0,427;20,474;99,121094
0,428;20,533;99,121094
0,429;20,591;99,121094
0,43;20,651;99,121094
0,431;20,651;99,121094
0,432;20,71;99,609375
0,433;20,771;99,609375
0,434;20,83;99,609375
0,435;20,891;99,609375
0,436;20,952;100,097656
0,437;20,952;100,097656
0,438;21,012;100,097656
0,439;21,071;100,097656
0,44;21,129;100,097656
0,441;21,19;100,097656
0,442;21,247;100,097656
0,443;21,306;100,097656
0,444;21,306;100,097656
0,445;21,365;101,074219
0,446;21,425;100,585938
0,447;21,484;100,585938
0,448;21,545;101,074219
0,449;21,545;100,585938
0,45;21,605;100,585938
0,451;21,664;100,585938
0,452;21,723;101,074219
0,453;21,783;101,074219
0,454;21,844;101,074219
0,455;21,844;101,074219
0,456;21,903;101,074219
0,457;21,963;101,5625
0,458;22,024;101,5625
0,459;22,083;103,027344
0,46;22,143;101,5625
0,461;22,143;101,5625
0,462;22,203;101,5625
0,463;22,263;102,050781
0,464;22,322;102,539062
0,465;22,382;102,050781
0,466;22,44;103,027344
0,467;22,44;102,539062
0,468;22,501;102,539062
0,469;22,56;102,050781
0,47;22,621;102,050781
0,471;22,682;102,050781
0,472;22,744;102,539062
0,473;22,744;103,027344
0,474;22,805;102,539062
0,475;22,865;102,539062
0,476;22,925;102,539062
0,477;22,986;104,003906
0,478;23,046;103,027344
0,479;23,046;103,515625
0,48;23,106;103,027344
0,481;23,167;103,515625
0,482;23,227;103,515625
0,483;23,288;103,515625
0,484;23,288;103,515625
0,485;23,349;103,027344
0,486;23,408;103,515625
0,487;23,47;103,515625
0,488;23,529;103,515625
0,489;23,589;104,003906
0,49;23,589;104,003906
0,491;23,648;104,003906
0,492;23,712;104,003906
0,493;23,774;104,003906
0,494;23,836;104,492188
0,495;23,896;104,492188
0,496;23,896;104,492188
0,497;23,957;104,980469
0,498;24,017;104,492188
0,499;24,078;104,492188
0,5;24,139;104,492188
0,501;24,139;104,492188
0,502;24,199;104,980469
0,503;24,259;105,46875
0,504;24,321;104,980469
0,505;24,382;105,46875
0,506;24,382;105,957031
0,507;24,441;105,957031
0,508;24,502;105,46875
0,509;24,559;105,46875
0,51;24,619;105,46875
0,511;24,68;105,957031
0,512;24,74;105,46875
0,513;24,74;105,46875
0,514;24,8;105,46875
0,515;24,862;105,957031
0,516;24,924;105,957031
0,517;24,986;106,933594
0,518;24,986;106,933594
0,519;25,046;106,445312
0,52;25,106;106,445312
0,521;25,167;106,445312
0,522;25,228;106,445312
0,523;25,288;106,445312
0,524;25,288;106,445312
0,525;25,348;106,445312
0,526;25,407;106,933594
0,527;25,468;107,421875
0,528;25,53;106,933594
0,529;25,533;106,933594
0,53;25,59;106,933594
0,531;25,651;106,933594
0,532;25,714;107,421875
0,533;25,776;107,421875
0,534;25,838;107,421875
0,535;25,838;107,421875
0,536;25,898;107,421875
0,537;25,959;107,910156
0,538;26,019;107,421875
0,539;26,082;107,910156
0,54;26,144;107,910156
0,541;26,144;108,398438
0,542;26,204;107,910156
0,543;26,265;107,910156
0,544;26,325;108,398438
0,545;26,387;108,398438
0,546;26,387;107,910156
0,547;26,446;108,398438
0,548;26,507;108,398438
0,549;26,565;108,398438
0,55;26,625;108,886719
0,551;26,686;108,886719
0,552;26,746;108,886719
0,553;26,77;108,886719
0,554;26,808;112,304688
0,555;26,867;108,886719
0,556;26,928;108,886719
0,557;26,99;109,375
0,558;27,051;109,375
0,559;27,051;109,375
0,56;27,11;110,351562
0,561;27,17;109,375
0,562;27,231;109,375
0,563;27,292;109,863281
0,564;27,355;109,863281
0,565;27,355;109,375
0,566;27,415;109,863281
0,567;27,478;109,863281
0,568;27,538;109,863281
0,569;27,598;111,328125
0,57;27,598;110,351562
0,571;27,657;110,351562
0,572;27,719;110,351562
0,573;27,781;110,351562
0,574;27,842;110,351562
0,575;27,9;110,351562
0,576;27,9;110,839844
0,577;27,961;110,351562
0,578;28,022;110,839844
0,579;28,085;110,351562
0,58;28,145;110,839844
0,581;28,145;110,839844
0,582;28,205;111,328125
0,583;28,267;111,328125
0,584;28,327;111,816406
0,585;28,389;111,328125
0,586;28,449;111,328125
0,587;28,51;111,328125
0,588;28,51;111,328125
0,589;28,57;111,328125
0,59;28,63;111,816406
0,591;28,691;111,816406
0,592;28,751;111,816406
0,593;28,812;111,816406
0,594;28,812;111,816406
0,595;28,871;112,304688
0,596;28,932;112,304688
0,597;28,993;112,792969
0,598;29,053;116,210938
0,599;29,053;112,304688
0,6;29,113;112,304688
0,601;29,173;112,304688
0,602;29,236;112,792969
0,603;29,298;113,28125
0,604;29,358;112,792969
0,605;29,358;113,769531
0,606;29,418;112,792969
0,607;29,478;112,792969
0,608;29,536;113,28125
0,609;29,595;113,769531
0,61;29,654;113,28125
0,611;29,714;113,769531
0,612;29,714;113,28125
0,613;29,774;114,257812
0,614;29,836;113,28125
0,615;29,897;113,769531
0,616;29,958;114,257812
0,617;29,958;114,257812
0,618;30,019;113,769531
0,619;30,078;113,769531
0,62;30,138;113,769531
0,621;30,198;113,769531
0,622;30,258;114,257812
0,623;30,258;114,257812
0,624;30,318;114,257812
0,625;30,379;113,769531
0,626;30,438;114,257812
0,627;30,498;114,746094
0,628;30,558;114,746094
0,629;30,558;114,746094
0,63;30,619;114,746094
0,631;30,678;115,722656
0,632;30,738;114,746094
0,633;30,799;115,234375
0,634;30,859;115,722656
0,635;30,859;115,234375
0,636;30,92;115,234375
0,637;30,98;119,140625
0,638;31,042;115,234375
0,639;31,102;115,234375
0,64;31,162;115,722656
0,641;31,162;115,722656
0,642;31,221;115,722656
0,643;31,281;115,722656
0,644;31,341;115,722656
0,645;31,4;115,722656
0,646;31,461;116,210938
0,647;31,461;116,210938
0,648;31,522;116,210938
0,649;31,582;116,210938
0,65;31,64;116,210938
0,651;31,7;116,210938
0,652;31,76;116,210938
0,653;31,76;116,210938
0,654;31,821;116,699219
0,655;31,881;116,699219
0,656;31,94;116,699219
0,657;32,002;116,699219
0,658;32,062;116,699219
0,659;32,062;116,699219
0,66;32,123;116,699219
0,661;32,183;117,1875
0,662;32,244;117,1875
0,663;32,305;117,1875
0,664;32,364;117,1875
0,665;32,364;117,1875
0,666;32,424;117,675781
0,667;32,484;117,675781
0,668;32,543;117,675781
0,669;32,602;117,675781
0,67;32,662;117,675781
0,671;32,723;117,675781
0,672;32,723;119,140625
0,673;32,784;118,164062
0,674;32,844;118,652344
0,675;32,904;118,164062
0,676;32,964;118,164062
0,677;32,964;119,140625
0,678;33,023;118,652344
0,679;33,084;118,652344
0,68;33,143;118,652344
0,681;33,206;118,652344
0,682;33,267;118,652344
0,683;33,267;118,652344
0,684;33,329;119,140625
0,685;33,389;119,628906
0,686;33,45;119,140625
0,687;33,51;119,140625
0,688;33,571;119,628906
0,689;33,63;119,140625
0,69;33,63;119,140625
0,691;33,689;119,140625
0,692;33,749;119,628906
0,693;33,811;119,628906
0,694;33,872;119,628906
0,695;33,872;119,628906
0,696;33,933;119,628906
0,697;33,994;119,628906
0,698;34,054;120,117188
0,699;34,115;119,628906
0,7;34,176;120,117188
0,701;34,214;124,023438
0,702;34,237;120,117188
0,703;34,298;120,117188
0,704;34,359;120,117188
0,705;34,42;120,605469
0,706;34,481;120,605469
0,707;34,481;120,605469
0,708;34,541;120,605469
0,709;34,598;121,09375
0,71;34,658;120,605469
0,711;34,719;122,558594
0,712;34,779;121,09375
0,713;34,779;121,09375
0,714;34,841;121,09375
0,715;34,901;122,070312
0,716;34,963;121,09375
0,717;35,023;121,582031
0,718;35,084;121,582031
0,719;35,084;122,558594
0,72;35,143;121,582031
0,721;35,203;121,582031
0,722;35,262;121,582031
0,723;35,324;121,582031
0,724;35,383;121,582031
0,725;35,383;121,582031
0,726;35,441;125,488281
0,727;35,502;122,070312
0,728;35,561;122,558594
0,729;35,621;122,070312
0,73;35,68;122,070312
0,731;35,68;122,070312
0,732;35,741;123,046875
0,733;35,8;122,558594
0,734;35,861;122,558594
0,735;35,92;122,558594
0,736;35,98;122,558594
0,737;35,98;122,558594
0,738;36,04;122,558594
0,739;36,101;123,046875
0,74;36,161;123,046875
0,741;36,22;122,558594
0,742;36,279;123,535156
0,743;36,338;123,046875
0,744;36,338;123,046875
0,745;36,398;123,046875
0,746;36,456;123,535156
0,747;36,515;123,535156
0,748;36,574;123,535156
0,749;36,634;123,535156
0,75;36,634;124,023438
0,751;36,694;124,023438
0,752;36,755;124,023438
0,753;36,817;124,023438
0,754;36,877;124,023438
0,755;36,877;123,535156
0,756;36,937;124,023438
0,757;36,997;124,023438
0,758;37,056;124,023438
0,759;37,114;124,511719
0,76;37,173;124,511719
0,761;37,173;124,511719
0,762;37,232;124,511719
0,763;37,292;124,511719
0,764;37,351;124,511719
0,765;37,409;124,511719
0,766;37,468;124,511719
0,767;37,468;125
0,768;37,525;125
0,769;37,585;125
0,77;37,643;125
0,771;37,703;125
0,772;37,764;125,488281
0,773;37,764;125,488281
0,774;37,824;125,488281
0,775;37,884;125,488281
0,776;37,944;125
0,777;38,003;125,976562
0,778;38,063;125,488281
0,779;38,09;125,488281
0,78;38,121;125,976562
0,781;38,18;125,976562
0,782;38,24;125,976562
0,783;38,298;125,976562
0,784;38,357;127,929688
0,785;38,357;126,464844
0,786;38,417;126,464844
0,787;38,474;126,464844
0,788;38,534;126,464844
0,789;38,592;126,464844
0,79;38,651;126,953125
0,791;38,651;126,464844
0,792;38,71;126,953125
0,793;38,769;126,953125
0,794;38,829;127,441406
0,795;38,889;126,953125
0,796;38,95;126,953125
0,797;39,01;126,953125
0,798;39,01;126,953125
0,799;39,068;127,929688
0,8;39,127;127,441406
0,801;39,189;126,953125
0,802;39,249;128,417969
0,803;39,309;127,929688
0,804;39,309;127,441406
0,805;39,368;127,929688
0,806;39,429;127,441406
0,807;39,49;127,929688
0,808;39,549;127,929688
0,809;39,549;127,929688
0,81;39,609;127,929688
0,811;39,668;127,929688
0,812;39,731;127,929688
0,813;39,79;128,417969
0,814;39,849;128,417969
0,815;39,849;128,417969
0,816;39,91;128,417969
0,817;39,971;128,90625
0,818;40,031;128,417969
0,819;40,094;128,90625
0,82;40,137;128,90625
0,821;40,154;128,90625
0,822;40,218;128,90625
0,823;40,281;128,90625
0,824;40,342;128,90625
0,825;40,4;128,90625
0,826;40,4;128,90625
0,827;40,458;129,394531
0,828;40,518;129,394531
0,829;40,579;129,394531
0,83;40,641;129,394531
0,831;40,701;129,394531
0,832;40,701;129,882812
0,833;40,762;129,394531
0,834;40,823;129,882812
0,835;40,884;129,882812
0,836;40,943;129,882812
0,837;41,002;129,882812
0,838;41,002;129,882812
0,839;41,062;130,371094
0,84;41,122;130,371094
0,841;41,182;130,371094
0,842;41,241;130,859375
0,843;41,241;130,371094
0,844;41,302;130,371094
0,845;41,361;130,371094
0,846;41,42;130,859375
0,847;41,48;130,859375
0,848;41,539;130,859375
0,849;41,539;130,371094
0,85;41,598;130,859375
0,851;41,658;131,835938
0,852;41,719;130,859375
0,853;41,78;130,859375
0,854;41,841;131,835938
0,855;41,9;131,347656
0,856;41,9;131,347656
0,857;41,959;131,347656
0,858;42,018;131,347656
0,859;42,076;131,835938
0,86;42,136;131,835938
0,861;42,136;131,835938
0,862;42,195;131,835938
0,863;42,255;131,835938
0,864;42,315;132,324219
0,865;42,376;132,324219
0,866;42,435;132,324219
0,867;42,495;132,324219
0,868;42,495;132,324219
0,869;42,554;132,324219
0,87;42,613;132,324219
0,871;42,673;132,324219
0,872;42,734;132,324219
0,873;42,734;132,324219
0,874;42,794;132,8125
0,875;42,855;132,8125
0,876;42,916;132,8125
0,877;42,976;132,8125
0,878;43,036;132,8125
0,879;43,036;132,8125
0,88;43,096;133,300781
0,881;43,155;133,300781
0,882;43,214;137,695312
0,883;43,275;133,300781
